NAME,SMILES,PROPERTY
DTXSID30758800,OC(=O)C(O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.8308E-05
DTXSID0059873,FC(F)(F)C(F)(F)S(F)(=O)=O,0.00124738
DTXSID7067324,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(Cl)(=O)=O,3.3037E-07
DTXSID10834151,FC=C(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,8.8308E-06
DTXSID20195169,CCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.9545E-07
DTXSID20144672,OC(CC1=NN(C(CC(O)(C(F)(F)F)C(F)(F)F)=C1)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F,4.46684E-07
DTXSID50803523,CC(=O)CC(=O)C(F)(F)C(F)(F)C(=O)CC(C)=O,0.00376704
DTXSID00542591,CN(C)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,3.11172E-05
DTXSID00379708,FC(F)(F)C(CC1CO1)(C(F)(F)F)C(F)(F)F,0.00011298
DTXSID50306049,CC1=CC=C(C=C1)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.14551E-07
DTXSID30794647,FC(C(=O)N1CN(CN(C1)C(=O)C(F)C(F)(F)F)C(=O)C(F)C(F)(F)F)C(F)(F)F,2.70396E-05
DTXSID50818435,CC(O)=O.OC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F,0.000145211
DTXSID80617579,CCC(C=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.58096E-06
DTXSID70182665,FC(F)(F)C(F)(F)C1NCCN1,0.00143219
DTXSID50449869,FC(F)(CC=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C,6.51628E-07
DTXSID00381422,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CN,0.000266073
DTXSID30846776,NC1=C(Br)C=C(C2=C1C=CC=N2)C(F)(C(F)(F)F)C(F)(F)F,2.20293E-06
DTXSID00760218,CC(C)=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.55631E-06
DTXSID10378287,FC(F)(F)C(CCC#N)(C(F)(F)F)C(F)(F)F,8.41395E-05
DTXSID40674305,CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.50808E-09
DTXSID40143086,CC1=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=CC(SC(F)(F)C(F)F)=C1,2.08449E-07
DTXSID40605078,FC(F)(F)COC(F)(F)C(F)(F)Cl,0.000400867
DTXSID80504415,COP(=O)(OC)C(C(F)(F)F)C(F)(F)F,0.00493174
